ec,contest,sido,gusigun,emd,gubun,candidates,votes,top1,top2,total
3,전라남도,전라남도,화순군,능주면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,476|82|36|30|19,476,82,643
3,전라남도,전라남도,화순군,도곡면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,678|77|30|41|15,678,77,841
3,전라남도,전라남도,화순군,도곡면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,452|68|26|25|7,452,68,578
3,전라남도,전라남도,화순군,도암면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,290|32|18|10|7,290,32,357
3,전라남도,전라남도,화순군,도암면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,230|32|13|22|7,230,32,304
3,전라남도,전라남도,화순군,이서면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,177|24|9|11|4,177,24,225
3,전라남도,전라남도,화순군,이서면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,154|23|15|7|5,154,23,204
3,전라남도,전라남도,화순군,백아면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,379|30|19|12|8,379,30,448
3,전라남도,전라남도,화순군,백아면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,204|30|23|14|8,204,30,279
3,전라남도,전라남도,화순군,동복면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,366|29|45|11|10,366,45,461
3,전라남도,전라남도,화순군,동복면,선거일투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,252|47|26|19|3,252,47,347
3,전라남도,전라남도,화순군,사평면,관내사전투표,더불어민주당 민형배|국민의힘 이정현|진보당 이종욱|정의당 강은미|무소속 김광만,513|57|53|31|14,513,57,668
